OrderID,VehicleID,Sequence,StopID,ArrivalTime,WaitingTime,UnloadingTime,DepartureTime
O_1887,Veh3500_145,2,S_537,2024-09-01 06:51:00,0,9.0,2024-09-01 07:00:00
O_450,Veh3500_145,3,S_537,2024-09-01 07:00:00,0,4.8,2024-09-01 07:04:00
O_437,Veh3500_145,4,S_521,2024-09-01 07:28:00,0,3.75,2024-09-01 07:31:00
O_1046,Veh3500_145,5,S_521,2024-09-01 07:31:00,0,4.05,2024-09-01 07:35:00
O_429,Veh3500_145,6,S_511,2024-09-01 08:01:00,0,4.2,2024-09-01 08:06:00
O_446,Veh3500_145,7,S_532,2024-09-01 08:37:00,0,4.25,2024-09-01 08:41:00
O_1915,Veh3500_145,8,S_532,2024-09-01 08:41:00,0,3.95,2024-09-01 08:45:00
O_364,Veh3500_145,9,S_427,2024-09-01 09:34:00,0,4.0,2024-09-01 09:38:00
O_447,Veh3500_145,10,S_534,2024-09-01 10:20:00,0,4.1,2024-09-01 10:24:00
O_793,Veh3500_145,11,S_939,2024-09-01 11:17:00,0,4.9,2024-09-01 11:22:00
O_1003,Veh3500_145,12,S_939,2024-09-01 11:22:00,0,3.5,2024-09-01 11:25:00
O_425,Veh3500_145,13,S_505,2024-09-01 12:30:00,0,4.05,2024-09-01 12:34:00
O_723,Veh3500_146,1,S_861,2024-09-01 06:23:00,0,8.0,2024-09-01 06:31:00
O_1400,Veh3500_146,2,S_861,2024-09-01 06:31:00,0,7.6000000000000005,2024-09-01 06:38:00
O_1401,Veh3500_146,3,S_861,2024-09-01 06:38:00,0,8.25,2024-09-01 06:47:00
O_726,Veh3500_146,4,S_865,2024-09-01 07:16:00,0,5.25,2024-09-01 07:21:00
O_1719,Veh3500_146,5,S_865,2024-09-01 07:21:00,0,7.25,2024-09-01 07:28:00
O_1720,Veh3500_146,6,S_865,2024-09-01 07:28:00,0,4.35,2024-09-01 07:33:00
O_1721,Veh3500_146,7,S_865,2024-09-01 07:33:00,0,6.6,2024-09-01 07:39:00
O_738,Veh3500_147,1,S_877,2024-09-01 06:51:00,0,9.0,2024-09-01 07:00:00
O_954,Veh3500_147,2,S_877,2024-09-01 07:00:00,0,24.400000000000002,2024-09-01 07:24:00
O_955,Veh3500_147,3,S_877,2024-09-01 07:24:00,0,3.85,2024-09-01 07:28:00
O_862,Veh3500_147,4,S_1020,2024-09-01 08:10:00,0,5.5,2024-09-01 08:15:00
O_1008,Veh3500_147,5,S_1020,2024-09-01 08:15:00,0,8.600000000000001,2024-09-01 08:24:00
O_1009,Veh3500_147,6,S_1020,2024-09-01 08:24:00,0,3.95,2024-09-01 08:28:00
O_718,Veh3500_147,7,S_854,2024-09-01 09:23:00,0,4.5,2024-09-01 09:28:00
O_852,Veh3500_148,1,S_1009,2024-09-01 06:54:00,0,18.0,2024-09-01 07:12:00
O_721,Veh3500_148,2,S_857,2024-09-01 08:02:00,0,13.45,2024-09-01 08:16:00
O_1709,Veh3500_148,3,S_857,2024-09-01 08:16:00,0,7.6000000000000005,2024-09-01 08:23:00
O_727,Veh3500_148,4,S_866,2024-09-01 08:43:00,0,3.5,2024-09-01 08:47:00
O_1606,Veh3500_148,5,S_866,2024-09-01 08:47:00,0,4.0,2024-09-01 08:51:00
O_1607,Veh3500_148,6,S_866,2024-09-01 08:51:00,0,4.35,2024-09-01 08:55:00
O_859,Veh3500_149,1,S_1017,2024-09-01 06:51:00,0,4.15,2024-09-01 06:55:00
O_2283,Veh3500_149,2,S_1017,2024-09-01 06:55:00,0,5.7,2024-09-01 07:00:00
O_2284,Veh3500_149,3,S_1017,2024-09-01 07:00:00,0,5.15,2024-09-01 07:06:00
O_2285,Veh3500_149,4,S_1017,2024-09-01 07:06:00,0,4.1,2024-09-01 07:10:00
O_2286,Veh3500_149,5,S_1017,2024-09-01 07:10:00,0,4.15,2024-09-01 07:14:00
O_737,Veh3500_149,6,S_876,2024-09-01 07:56:00,0,6.15,2024-09-01 08:02:00
O_1577,Veh3500_149,7,S_876,2024-09-01 08:02:00,0,3.95,2024-09-01 08:06:00
O_1578,Veh3500_149,8,S_876,2024-09-01 08:06:00,0,5.85,2024-09-01 08:12:00
O_861,Veh3500_149,9,S_1019,2024-09-01 08:54:00,0,4.9,2024-09-01 08:59:00
O_2030,Veh3500_149,10,S_1019,2024-09-01 08:59:00,0,4.3,2024-09-01 09:03:00
O_2031,Veh3500_149,11,S_1019,2024-09-01 09:03:00,0,7.65,2024-09-01 09:11:00
O_2032,Veh3500_149,12,S_1019,2024-09-01 09:11:00,0,5.6,2024-09-01 09:17:00
O_731,Veh3500_149,13,S_870,2024-09-01 10:10:00,0,5.7,2024-09-01 10:15:00
O_2654,Veh3500_149,14,S_870,2024-09-01 10:15:00,0,3.7,2024-09-01 10:19:00
O_2655,Veh3500_149,15,S_870,2024-09-01 10:19:00,0,4.25,2024-09-01 10:23:00
O_2656,Veh3500_149,16,S_870,2024-09-01 10:23:00,0,8.0,2024-09-01 10:31:00
O_2657,Veh3500_149,17,S_870,2024-09-01 10:31:00,0,3.7,2024-09-01 10:35:00
O_856,Veh3500_149,18,S_1013,2024-09-01 11:03:00,0,5.05,2024-09-01 11:08:00
O_1281,Veh3500_149,19,S_1013,2024-09-01 11:08:00,0,4.6,2024-09-01 11:12:00
O_855,Veh3500_150,1,S_1012,2024-09-01 06:49:00,0,3.85,2024-09-01 06:53:00
O_2052,Veh3500_150,2,S_1012,2024-09-01 06:53:00,0,3.9,2024-09-01 06:57:00
O_2053,Veh3500_150,3,S_1012,2024-09-01 06:57:00,0,4.4,2024-09-01 07:02:00
O_2055,Veh3500_150,4,S_1012,2024-09-01 07:02:00,0,3.6,2024-09-01 07:05:00
O_2056,Veh3500_150,5,S_1012,2024-09-01 07:05:00,0,3.7,2024-09-01 07:09:00
O_833,Veh3500_150,6,S_987,2024-09-01 07:49:00,0,5.9,2024-09-01 07:55:00
O_729,Veh3500_150,7,S_868,2024-09-01 08:24:00,0,3.5,2024-09-01 08:27:00
O_2295,Veh3500_150,8,S_868,2024-09-01 08:27:00,0,6.9,2024-09-01 08:34:00
O_2296,Veh3500_150,9,S_868,2024-09-01 08:34:00,0,3.8,2024-09-01 08:38:00
O_2297,Veh3500_150,10,S_868,2024-09-01 08:38:00,0,3.9,2024-09-01 08:42:00
O_724,Veh3500_150,11,S_863,2024-09-01 09:00:00,0,8.25,2024-09-01 09:08:00
O_2243,Veh3500_150,12,S_863,2024-09-01 09:08:00,0,4.05,2024-09-01 09:12:00
O_2244,Veh3500_150,13,S_863,2024-09-01 09:12:00,0,3.9,2024-09-01 09:16:00
O_736,Veh3500_150,14,S_875,2024-09-01 09:45:00,0,4.7,2024-09-01 09:49:00
O_2531,Veh3500_151,1,S_180,2024-09-01 06:45:00,0,17.950000000000003,2024-09-01 07:03:00
O_2533,Veh3500_151,2,S_180,2024-09-01 07:03:00,0,6.0,2024-09-01 07:09:00
O_2535,Veh3500_151,3,S_180,2024-09-01 07:09:00,0,6.55,2024-09-01 07:15:00
O_2534,Veh3500_151,4,S_180,2024-09-01 07:15:00,0,4.45,2024-09-01 07:20:00
O_2737,Veh3500_152,1,S_921,2024-09-01 07:05:00,0,16.9,2024-09-01 07:22:00
O_2735,Veh3500_152,2,S_921,2024-09-01 07:22:00,0,10.850000000000001,2024-09-01 07:33:00
O_2732,Veh3500_152,3,S_921,2024-09-01 07:33:00,0,4.9,2024-09-01 07:38:00
O_2734,Veh3500_152,4,S_921,2024-09-01 07:38:00,0,4.25,2024-09-01 07:42:00
O_2731,Veh3500_152,5,S_921,2024-09-01 07:42:00,0,5.4,2024-09-01 07:47:00
O_778,Veh3500_152,6,S_921,2024-09-01 07:47:00,0,3.55,2024-09-01 07:51:00
O_2736,Veh3500_152,7,S_921,2024-09-01 07:51:00,0,3.5,2024-09-01 07:54:00
O_2730,Veh3500_152,8,S_921,2024-09-01 07:54:00,0,3.5,2024-09-01 07:58:00
O_544,Veh3500_153,1,S_652,2024-09-01 06:59:00,0,5.0,2024-09-01 07:04:00
O_1278,Veh3500_153,2,S_652,2024-09-01 07:04:00,0,28.6,2024-09-01 07:33:00
O_541,Veh3500_153,3,S_649,2024-09-01 07:42:00,0,3.75,2024-09-01 07:46:00
O_1090,Veh3500_153,4,S_649,2024-09-01 07:46:00,0,3.7,2024-09-01 07:50:00
O_1091,Veh3500_153,5,S_649,2024-09-01 07:50:00,0,3.95,2024-09-01 07:54:00
